util_type,symbol,id,candle_time,action,price,stop_loss,target_price,current_price,exit_price,pnl,status,executed_at,exchange_mode
TRADE_HISTORY,HINDUNILVR_DABUR,133,12-06-2024 11:14,BUY,-42.67083,-79.79,-5.55,,-5.28201,2168.5,target_hit,12-06-2024 14:39,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,134,12-06-2024 15:04,SELL,150.18314,286.97,13.4,,2.11556,-37587.7,target_hit,13-06-2024 10:59,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,135,14-06-2024 09:29,BUY,-145.41598,-289.56,-1.27,,10.00449,-6659.0,target_hit,14-06-2024 11:09,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,136,14-06-2024 10:59,SELL,83.85767,156.48,11.24,,5.80514,55728.2,target_hit,14-06-2024 12:19,nse
TRADE_HISTORY,TCS_WIPRO,137,18-06-2024 09:19,BUY,-95.32367,-155.38,-35.26,,-32.67988,-46715.0,target_hit,18-06-2024 12:39,nse
TRADE_HISTORY,IOC_BPCL,138,18-06-2024 09:19,BUY,-2.49927,-4.7,-0.3,,-0.26244,-13559.7,target_hit,18-06-2024 15:29,nse
TRADE_HISTORY,HINDUNILVR_DABUR,139,18-06-2024 10:24,SELL,35.69573,72.16,-0.77,,-1.55221,6506.2,target_hit,19-06-2024 10:59,nse
TRADE_HISTORY,NTPC_POWERGRID,140,18-06-2024 11:04,BUY,-6.96993,-13.29,-0.65,,-0.4004,-35911.0,target_hit,19-06-2024 11:44,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,141,18-06-2024 11:09,SELL,79.17812,149.84,8.52,,5.59606,43187.7,target_hit,18-06-2024 13:24,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,142,19-06-2024 10:14,BUY,-79.82574,-153.43,-6.22,,0.52291,37559.5,target_hit,19-06-2024 11:44,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,143,20-06-2024 12:34,BUY,-143.26349,-285.18,-1.34,,-234.77344,-76576.7,stop_loss_hit,20-06-2024 14:29,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,144,20-06-2024 14:34,BUY,-252.87404,-409.41,-96.34,,-61.25393,-5300.8,target_hit,20-06-2024 14:54,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,145,21-06-2024 11:09,BUY,-85.90377,-167.15,-4.66,,25.05441,28026.7,target_hit,21-06-2024 15:04,nse
TRADE_HISTORY,TATASTEEL_HINDALCO,146,24-06-2024 09:34,BUY,-3.85493,-7.15,-0.56,,-0.42316,6220.3,target_hit,27-06-2024 10:54,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,147,25-06-2024 09:49,SELL,161.13191,311.47,10.8,,-2.02598,51541.6,target_hit,25-06-2024 12:09,nse
